strategy,student_type,episode_id,step,effective_max_steps,phase,route,focus_skill,target_skill,active_skill,active_family,hit_subskill,progression_gate_active,foundation_mastery_mean,polynomial_mastery,mastery_before,mastery_after,integer_mastery,fraction_mastery,radical_mastery,zpd_gain_scale,weakest_subskill_mastery,prerequisite_transfer_bonus,rag_triggered,rag_bonus,rag_intervention_count,rag_tier,rag_decay_factor,rag_bonus_after_decay,is_correct,correct,was_remediation,was_unnecessary_remediation,is_return_to_mainline,fail_streak,sign_handling_mastery,combine_like_terms_mastery,sign_distribution_mastery,expand_monomial_mastery,expand_binomial_mastery,family_isomorphism_mastery
AB3_PPO_Dynamic,Careless,1,1,40,mainline,mainline,family_isomorphism,polynomial,polynomial,poly_mixed_simplify,family_isomorphism,False,,0.599999,0.605789,0.599999,0.673675,0.43045,0.67831,1.0,0.43045,0.0,0,0.0,0,,1.0,0.0,0,0,0,0,0,1,0.675505,0.669406,0.681076,0.819337,0.67831,0.43045
AB3_PPO_Dynamic,Careless,1,2,40,mainline,mainline,family_isomorphism,polynomial,polynomial,poly_mixed_simplify,family_isomorphism,False,,0.594209,0.599999,0.594209,0.673315,0.41545,0.67831,1.0,0.41545,0.0,0,0.0,0,,1.0,0.0,0,0,0,0,0,2,0.675505,0.668206,0.681076,0.819337,0.67831,0.41545
AB3_PPO_Dynamic,Careless,1,3,40,remediation,remediation,family_isomorphism,polynomial,polynomial,poly_mixed_simplify,family_isomorphism,False,,0.641958,0.594209,0.641958,0.682063,0.53209,0.67831,1.2,0.53209,0.0,0,0.0,0,,1.0,0.0,1,1,1,0,0,0,0.675505,0.697366,0.681076,0.819337,0.67831,0.53209
AB3_PPO_Dynamic,Careless,1,4,40,remediation,remediation,family_isomorphism,polynomial,polynomial,poly_mixed_simplify,family_isomorphism,False,,0.637905,0.641958,0.637905,0.681811,0.52159,0.67831,1.0,0.52159,0.0,0,0.0,0,,1.0,0.0,0,0,1,0,0,1,0.675505,0.696526,0.681076,0.819337,0.67831,0.52159
AB3_PPO_Dynamic,Careless,1,5,40,mainline,mainline,family_isomorphism,polynomial,polynomial,poly_mixed_simplify,family_isomorphism,False,,0.682118,0.637905,0.682118,0.689911,0.62959,0.67831,1.2,0.62959,0.0,0,0.0,0,,1.0,0.0,1,1,0,0,1,0,0.675505,0.723526,0.681076,0.819337,0.67831,0.62959
AB3_PPO_Dynamic,Careless,1,6,40,mainline,mainline,family_isomorphism,polynomial,polynomial,poly_mixed_simplify,family_isomorphism,False,,0.676328,0.682118,0.676328,0.689551,0.61459,0.67831,1.0,0.61459,0.0,0,0.0,0,,1.0,0.0,0,0,0,0,0,1,0.675505,0.722326,0.681076,0.819337,0.67831,0.61459
AB3_PPO_Dynamic,Careless,1,7,40,mainline,mainline,family_isomorphism,polynomial,polynomial,poly_mixed_simplify,family_isomorphism,False,,0.708769,0.676328,0.708769,0.697651,0.72259,0.67831,1.2,0.675505,0.0,0,0.0,0,,1.0,0.0,1,1,0,0,0,0,0.675505,0.749326,0.681076,0.819337,0.67831,0.72259
AB3_PPO_Dynamic,Careless,1,8,40,mainline,mainline,sign_handling,polynomial,polynomial,poly_add_sub_nested,sign_handling,False,,0.702994,0.708769,0.702994,0.687151,0.72259,0.67831,1.0,0.660505,0.0,0,0.0,0,,1.0,0.0,0,0,0,0,0,1,0.660505,0.749326,0.679876,0.819337,0.67831,0.72259
AB3_PPO_Dynamic,Careless,1,9,40,mainline,mainline,sign_handling,polynomial,polynomial,poly_add_sub_nested,sign_handling,False,,0.733392,0.702994,0.733392,0.764819,0.72259,0.67831,1.2,0.67831,0.00827,0,0.0,0,,1.0,0.0,1,1,0,0,0,0,0.770572,0.751394,0.708944,0.819337,0.67831,0.72259
AB3_PPO_Dynamic,Careless,1,10,40,mainline,mainline,expand_binomial,polynomial,polynomial,poly_mul_poly,expand_binomial,False,,0.719497,0.733392,0.719497,0.764819,0.72259,0.66331,1.0,0.66331,0.0,0,0.0,0,,1.0,0.0,0,0,0,0,0,1,0.770572,0.751394,0.708944,0.819337,0.66331,0.72259
